185.222.211.18 - - [22/Apr/2018:08:19:26 +0900] "-" 400 -
203.255.248.30 - - [22/Apr/2018:13:59:42 +0900] "GET / HTTP/1.1" 200 478
203.249.22.98 - - [22/Apr/2018:15:56:23 +0900] "GET / HTTP/1.1" 200 478
203.249.22.98 - - [22/Apr/2018:15:56:23 +0900] "GET /css/bootstrap.css HTTP/1.1" 200 141519
203.249.22.98 - - [22/Apr/2018:15:56:23 +0900] "GET /js/bootstrap.js HTTP/1.1" 200 66732
203.249.22.98 - - [22/Apr/2018:15:56:23 +0900] "GET /login.jsp HTTP/1.1" 200 5116
203.249.22.98 - - [22/Apr/2018:15:56:23 +0900] "GET /image/bird.png HTTP/1.1" 200 6457
203.249.22.98 - - [22/Apr/2018:15:56:24 +0900] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
203.249.22.98 - - [22/Apr/2018:15:56:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
